Title,Source,File_path,IMDb_id
indiana jones and the last crusade,walker,../data/walker2015_scene_diag/dialogs/Action/indianajonesandthelastcrusade_dialog.txt,0097576
,walker,../data/walker2015_scene_diag/dialogs/Action/indianajonesandtheraidersofthelostark_dialog.txt,
indiana jones and the temple of doom,walker,../data/walker2015_scene_diag/dialogs/Action/indianajonesandthetempleofdoom_dialog.txt,0087469
indiana jones iv,walker,../data/walker2015_scene_diag/dialogs/Action/indianajonesiv_dialog.txt,
"i, robot",walker,../data/walker2015_scene_diag/dialogs/Action/irobot_dialog.txt,0343818
the island,walker,../data/walker2015_scene_diag/dialogs/Action/islandthe_dialog.txt,0399201
"""the italian job""",walker,../data/walker2015_scene_diag/dialogs/Action/italianjobthe_dialog.txt,0317740
jason-x,walker,../data/walker2015_scene_diag/dialogs/Action/jasonx_dialog.txt,0211443
jimmy and judy,walker,../data/walker2015_scene_diag/dialogs/Action/jimmyandjudy_dialog.txt,0425151
judge dredd,walker,../data/walker2015_scene_diag/dialogs/Action/judgedredd_dialog.txt,0113492
jurassic park,walker,../data/walker2015_scene_diag/dialogs/Action/jurassicpark_dialog.txt,0107290
jurassic park iii,walker,../data/walker2015_scene_diag/dialogs/Action/jurassicparkiii_dialog.txt,0163025
,walker,../data/walker2015_scene_diag/dialogs/Action/jurassicparkthelostworld_dialog.txt,
,walker,../data/walker2015_scene_diag/dialogs/Action/killbillvolume12_dialog.txt,
the kingdom,walker,../data/walker2015_scene_diag/dialogs/Action/kingdomthe_dialog.txt,0431197
king kong,walker,../data/walker2015_scene_diag/dialogs/Action/kingkong_dialog.txt,0360717
kung fu panda,walker,../data/walker2015_scene_diag/dialogs/Action/kungfupanda_dialog.txt,0441773
lake placid,walker,../data/walker2015_scene_diag/dialogs/Action/lakeplacid_dialog.txt,
land of the dead,walker,../data/walker2015_scene_diag/dialogs/Action/landofthedead_dialog.txt,0418819
the last boy scout,walker,../data/walker2015_scene_diag/dialogs/Action/lastboyscoutthe_dialog.txt,0102266
the last samurai,walker,../data/walker2015_scene_diag/dialogs/Action/lastsamuraithe_dialog.txt,0325710
legion,walker,../data/walker2015_scene_diag/dialogs/Action/legion_dialog.txt,1038686
logans run,walker,../data/walker2015_scene_diag/dialogs/Action/logansrun_dialog.txt,0074812
"""the long kiss goodnight""",walker,../data/walker2015_scene_diag/dialogs/Action/longkissgoodnightthe_dialog.txt,0116908
looper,walker,../data/walker2015_scene_diag/dialogs/Action/looper_dialog.txt,1276104
,walker,../data/walker2015_scene_diag/dialogs/Action/lordoftheringsfellowshipoftheringthe_dialog.txt,
,walker,../data/walker2015_scene_diag/dialogs/Action/lordoftheringsreturnoftheking_dialog.txt,
,walker,../data/walker2015_scene_diag/dialogs/Action/lordoftheringsthetwotowers_dialog.txt,
the losers,walker,../data/walker2015_scene_diag/dialogs/Action/losersthe_dialog.txt,0480255
l o s t i n s p a c e,walker,../data/walker2015_scene_diag/dialogs/Action/lostinspace_dialog.txt,
machete,walker,../data/walker2015_scene_diag/dialogs/Action/machete_dialog.txt,0985694
machine gun preacher,walker,../data/walker2015_scene_diag/dialogs/Action/machinegunpreacher_dialog.txt,1586752
,walker,../data/walker2015_scene_diag/dialogs/Action/manintheironmask_dialog.txt,
man on fire,walker,../data/walker2015_scene_diag/dialogs/Action/manonfire_dialog.txt,0328107
,walker,../data/walker2015_scene_diag/dialogs/Action/mariachiel_dialog.txt,
,walker,../data/walker2015_scene_diag/dialogs/Action/masterandcommander_dialog.txt,
the matrix,walker,../data/walker2015_scene_diag/dialogs/Action/matrixthe_dialog.txt,0133093
max payne,walker,../data/walker2015_scene_diag/dialogs/Action/maxpayne_dialog.txt,0467197
the mechanic,walker,../data/walker2015_scene_diag/dialogs/Action/mechanicthe_dialog.txt,
megamind,walker,../data/walker2015_scene_diag/dialogs/Action/megamind_dialog.txt,
men in black 3,walker,../data/walker2015_scene_diag/dialogs/Action/meninblack3_dialog.txt,1409024
men in black,walker,../data/walker2015_scene_diag/dialogs/Action/meninblack_dialog.txt,0119654
"""metro""",walker,../data/walker2015_scene_diag/dialogs/Action/metro_dialog.txt,
miami vice,walker,../data/walker2015_scene_diag/dialogs/Action/miamivice_dialog.txt,0430357
mighty morphin power rangers: the movie,walker,../data/walker2015_scene_diag/dialogs/Action/mightymorphinpowerrangersthemovie_dialog.txt,0113820
"""minority report""",walker,../data/walker2015_scene_diag/dialogs/Action/minorityreport_dialog.txt,0181689
,walker,../data/walker2015_scene_diag/dialogs/Action/missionimpossible_dialog.txt,
,walker,../data/walker2015_scene_diag/dialogs/Action/missionimpossibleii_dialog.txt,
"""the mummy""",walker,../data/walker2015_scene_diag/dialogs/Action/mummythe_dialog.txt,0120616
,walker,../data/walker2015_scene_diag/dialogs/Action/mysterymen_dialog.txt,
"""natural born killers""",walker,../data/walker2015_scene_diag/dialogs/Action/naturalbornkillers_dialog.txt,0110632
new york minute,walker,../data/walker2015_scene_diag/dialogs/Action/newyorkminute_dialog.txt,
next,walker,../data/walker2015_scene_diag/dialogs/Action/next_dialog.txt,
ninja assassin,walker,../data/walker2015_scene_diag/dialogs/Action/ninjaassassin_dialog.txt,1186367
oblivion,walker,../data/walker2015_scene_diag/dialogs/Action/oblivion_dialog.txt,1483013
the pacifier,walker,../data/walker2015_scene_diag/dialogs/Action/pacifierthe_dialog.txt,0395699
pandorum,walker,../data/walker2015_scene_diag/dialogs/Action/pandorum_dialog.txt,1188729
the patriot,walker,../data/walker2015_scene_diag/dialogs/Action/patriotthe_dialog.txt,0187393
pearl harbor,walker,../data/walker2015_scene_diag/dialogs/Action/pearlharbor_dialog.txt,0213149
perfect creature,walker,../data/walker2015_scene_diag/dialogs/Action/perfectcreature_dialog.txt,0403407
,walker,../data/walker2015_scene_diag/dialogs/Action/perfectworlda_dialog.txt,
,walker,../data/walker2015_scene_diag/dialogs/Action/piratesofthecaribbean_dialog.txt,
,walker,../data/walker2015_scene_diag/dialogs/Action/piratesofthecaribbeandeadmanschest_dialog.txt,
,walker,../data/walker2015_scene_diag/dialogs/Action/planetoftheapesthe_dialog.txt,
platoon,walker,../data/walker2015_scene_diag/dialogs/Action/platoon_dialog.txt,0091763
point break,walker,../data/walker2015_scene_diag/dialogs/Action/pointbreak_dialog.txt,0102685
the postman,walker,../data/walker2015_scene_diag/dialogs/Action/postmanthe_dialog.txt,0119925
,walker,../data/walker2015_scene_diag/dialogs/Action/predator_dialog.txt,
priest,walker,../data/walker2015_scene_diag/dialogs/Action/priest_dialog.txt,0822847
the program,walker,../data/walker2015_scene_diag/dialogs/Action/programthe_dialog.txt,0107889
"""pulp fiction""",walker,../data/walker2015_scene_diag/dialogs/Action/pulpfiction_dialog.txt,0110912
,walker,../data/walker2015_scene_diag/dialogs/Action/rambofirstbloodiithemission_dialog.txt,
"""reindeer games""",walker,../data/walker2015_scene_diag/dialogs/Action/reindeergames_dialog.txt,0184858
r e s e r v o i r d o g s,walker,../data/walker2015_scene_diag/dialogs/Action/reservoirdogs_dialog.txt,0105236
resident evil,walker,../data/walker2015_scene_diag/dialogs/Action/residentevil_dialog.txt,
rise of the planet of the apes,walker,../data/walker2015_scene_diag/dialogs/Action/riseoftheplanetoftheapes_dialog.txt,1318514
,walker,../data/walker2015_scene_diag/dialogs/Action/robinhoodprinceofthieves_dialog.txt,
rocknrolla,walker,../data/walker2015_scene_diag/dialogs/Action/rocknrolla_dialog.txt,1032755
the rock,walker,../data/walker2015_scene_diag/dialogs/Action/rockthe_dialog.txt,0117500
ronin,walker,../data/walker2015_scene_diag/dialogs/Action/ronin_dialog.txt,0122690
rush,walker,../data/walker2015_scene_diag/dialogs/Action/rush_dialog.txt,1979320
rush hour 2,walker,../data/walker2015_scene_diag/dialogs/Action/rushhour2_dialog.txt,0266915
rush hour,walker,../data/walker2015_scene_diag/dialogs/Action/rushhour_dialog.txt,
s a v i n g p r i v a t e r y a n,walker,../data/walker2015_scene_diag/dialogs/Action/savingprivateryan_dialog.txt,
