Title,Source,File_path,IMDb_id
cowboys   aliens,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1ae_Cowboys___Aliens.txt,0409847
the descendants,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1b5_The_Descendants.txt,
the girl with the dragon tattoo,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1d3_The_Girl_with_the_Dragon_Tattoo.txt,
hall pass,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1d8_Hall_Pass.txt,0480687
hanna,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1da_Hanna.txt,0993842
the help,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1e1_The_Help.txt,1454029
jane eyre,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1fa_Jane_Eyre.txt,1229822
limitless,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b20c_Limitless.txt,1219289
the lincoln lawyer,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b20d_The_Lincoln_Lawyer.txt,1189340
margaret,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b210_Margaret.txt,0466893
the mechanic,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b215_The_Mechanic.txt,
moneyball,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b21c_Moneyball.txt,1210166
monte carlo,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b21e_Monte_Carlo.txt,0076137
my week with marilyn,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b223_My_Week_with_Marilyn.txt,1655420
red riding hood,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b23a_Red_Riding_Hood.txt,
super 8,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b25b_Super_8.txt,1650062
the thing,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b260_The_Thing.txt,0084787
thor,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b263_Thor.txt,0800369
the three musketeers,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b265_The_Three_Musketeers.txt,
tinker  tailor  soldier  spy,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b266_Tinker__Tailor__Soldier__Spy.txt,
water for elephants,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b276_Water_for_Elephants.txt,
burlesque,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b2ad_Burlesque.txt,1126591
clash of the titans,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b2bb_Clash_of_the_Titans.txt,0800320
the debt,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b2ca_The_Debt.txt,
fair game,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b2e4_Fair_Game.txt,0977855
legion,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b320_Legion.txt,1038686
megamind,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b32d_MegaMind.txt,
the next three days,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b334_The_Next_Three_Days.txt,
the whistleblower,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b394_The_Whistleblower.txt,
2012,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b3a2_2012.txt,1190080
